group,biological_replicate,name,major_axis,minor_axis,convex_area,gyration_radius,eigenvalues_ratio,eigenentropy,perimeter,convex_perimeter,aspect_ratio,form_ratio,rectangularity,circularity,convex_circularity,convexity,solidity,fiber_length,fiber_width,curl,major_axis_norm_area,minor_axis_norm_area,elastic_energy_norm_area,bending_energy_norm_area,nucleus_radius,locs_density,locs_number,elastic_energy,bending_energy,periphery_loc_density,interior_loc_density,periphery_cluster_density,interior_cluster_density,model_lad_thickness,periphery_to_interior_loc_density_ratio,periphery_to_interior_dbscan_cluster_density_ratio,log_voronoi_density_40,log_voronoi_density_70,reduced_log_voronoi_density_40,reduced_log_voronoi_density_70,log_interior_dbscan_cluster_radius_mean,log_interior_dbscan_cluster_radius_std,log_interior_dbscan_cluster_radius_skewness,log_interior_dbscan_cluster_gyration_radius_mean,log_interior_dbscan_cluster_gyration_radius_std,log_interior_dbscan_cluster_gyration_radius_skewness,log_interior_dbscan_cluster_density_mean,log_interior_dbscan_cluster_density_std,log_interior_dbscan_cluster_density_skewness,log_interior_dbscan_cluster_n_locs_mean,log_interior_dbscan_cluster_n_locs_std,log_interior_dbscan_cluster_spacing_mean,log_interior_dbscan_cluster_spacing_std,log_interior_dbscan_cluster_spacing_skewness,log_periphery_dbscan_cluster_radius_mean,log_periphery_dbscan_cluster_radius_std,log_periphery_dbscan_cluster_radius_skewness,log_periphery_dbscan_cluster_gyration_radius_mean,log_periphery_dbscan_cluster_gyration_radius_std,log_periphery_dbscan_cluster_gyration_radius_skewness,log_periphery_dbscan_cluster_density_mean,log_periphery_dbscan_cluster_density_std,log_periphery_dbscan_cluster_density_skewness,log_periphery_dbscan_cluster_n_locs_mean,log_periphery_dbscan_cluster_n_locs_std,log_model_lad_segment_length_mean,log_model_lad_segment_length_std,log_model_lad_segment_length_skewness,log_model_lad_segment_thickness_mean,log_model_lad_segment_thickness_std,log_model_lad_segment_thickness_skewness,log_voronoi_density_mean,log_voronoi_density_std,log_voronoi_density_skewness,log_border_curvature_mean,log_border_curvature_std,log_border_curvature_skewness,reduced_log_voronoi_density_mean,interior_dbscan_cluster_n_locs,interior_dbscan_cluster_n_clusters,periphery_dbscan_cluster_n_locs,periphery_dbscan_cluster_n_clusters,radial_loc_density_ring_01,radial_loc_density_ring_02,radial_loc_density_ring_03,radial_loc_density_ring_04,radial_loc_density_ring_05,radial_loc_density_ring_06,radial_loc_density_ring_07,radial_loc_density_ring_08,radial_loc_density_ring_09,radial_loc_density_ring_10,radial_dbscan_cluster_density_ring_01,radial_dbscan_cluster_density_ring_02,radial_dbscan_cluster_density_ring_03,radial_dbscan_cluster_density_ring_04,radial_dbscan_cluster_density_ring_05,radial_dbscan_cluster_density_ring_06,radial_dbscan_cluster_density_ring_07,radial_dbscan_cluster_density_ring_08,radial_dbscan_cluster_density_ring_09,radial_dbscan_cluster_density_ring_10,radial_loc_density_ring_gradient_major_axis,radial_loc_density_ring_gradient_minor_axis,radial_dbscan_cluster_density_ring_gradient_major_axis,radial_dbscan_cluster_density_ring_gradient_minor_axis,voronoi_cluster_018nm^2_log_radius_mean,voronoi_cluster_018nm^2_log_radius_std,voronoi_cluster_018nm^2_log_radius_skewness,voronoi_cluster_018nm^2_log_density_mean,voronoi_cluster_018nm^2_log_density_std,voronoi_cluster_018nm^2_log_density_skewness,voronoi_cluster_018nm^2_log_gyration_radius_mean,voronoi_cluster_018nm^2_log_gyration_radius_std,voronoi_cluster_018nm^2_log_gyration_radius_skewness,voronoi_cluster_032nm^2_log_radius_mean,voronoi_cluster_032nm^2_log_radius_std,voronoi_cluster_032nm^2_log_radius_skewness,voronoi_cluster_032nm^2_log_density_mean,voronoi_cluster_032nm^2_log_density_std,voronoi_cluster_032nm^2_log_density_skewness,voronoi_cluster_032nm^2_log_gyration_radius_mean,voronoi_cluster_032nm^2_log_gyration_radius_std,voronoi_cluster_032nm^2_log_gyration_radius_skewness,voronoi_cluster_056nm^2_log_radius_mean,voronoi_cluster_056nm^2_log_radius_std,voronoi_cluster_056nm^2_log_radius_skewness,voronoi_cluster_056nm^2_log_density_mean,voronoi_cluster_056nm^2_log_density_std,voronoi_cluster_056nm^2_log_density_skewness,voronoi_cluster_056nm^2_log_gyration_radius_mean,voronoi_cluster_056nm^2_log_gyration_radius_std,voronoi_cluster_056nm^2_log_gyration_radius_skewness,voronoi_cluster_100nm^2_log_radius_mean,voronoi_cluster_100nm^2_log_radius_std,voronoi_cluster_100nm^2_log_radius_skewness,voronoi_cluster_100nm^2_log_density_mean,voronoi_cluster_100nm^2_log_density_std,voronoi_cluster_100nm^2_log_density_skewness,voronoi_cluster_100nm^2_log_gyration_radius_mean,voronoi_cluster_100nm^2_log_gyration_radius_std,voronoi_cluster_100nm^2_log_gyration_radius_skewness,voronoi_cluster_018nm^2_clusters_per_nucleus_area,voronoi_cluster_032nm^2_clusters_per_nucleus_area,voronoi_cluster_056nm^2_clusters_per_nucleus_area,voronoi_cluster_100nm^2_clusters_per_nucleus_area
CtrlhFb,0,0,17577.05981,10554.22958,139997777.5,5325.494368,2.09390374,0.629270057,46180.37655,44396.00253,1.665404346,0.48011738,0.799589571,0.874047054,0.892572023,0.961360774,1.059543393,15423.82092,9617.183761,1.139604765,0.000118497,7.12E-05,0.01268734,0.000201443,6871.396478,0.006370231,944920,1881960.389,29880.84433,0.007523066,0.005927446,2.96E-06,6.42E-06,122.748439,1.269191744,0.461685523,-2.040991968,-1.660961569,0.156254067,0.536284467,1.630560905,0.217524089,0.811847796,1.543011256,0.21110558,0.902932585,-1.719770767,0.165646779,0.103956052,2.038500915,0.411433514,2.544034249,0.124171469,0.201609232,1.869226109,0.402453186,0.410316629,1.793356205,0.39117828,0.623691737,-1.765041999,0.172117699,0.594927687,2.470560092,0.822680715,2.9415234,0.10599304,-0.215311619,1.220291481,1.264131658,-0.776252091,-1.910676817,0.500738499,0.129672756,-3.567844385,0.555560972,-0.45657876,0.286569218,504882,810,255894,56,0.005122132,0.006013684,0.005561937,0.004555022,0.004870933,0.005910421,0.006234156,0.006485655,0.00704331,0.008355646,6.18E-06,8.46E-06,8.10E-06,5.98E-06,5.41E-06,6.93E-06,5.91E-06,6.41E-06,5.81E-06,2.38E-06,7.12E-08,1.19E-07,-9.03E-11,-1.50E-10,0.778381304,0.172961879,2.133633105,-1.062757195,0.06573758,1.008353111,0.664484761,0.238306756,0.790963862,0.925165366,0.197537418,1.933618933,-1.307805479,0.066804739,0.919933967,0.816714389,0.256956318,0.912818898,1.084760603,0.22896166,1.69809401,-1.549257299,0.06985134,0.814849213,0.975028516,0.286566874,0.892613242,1.242320831,0.258839503,1.590318168,-1.785958612,0.078390846,0.729915417,1.134511479,0.308660035,1.053798962,1.62E-05,3.28E-05,4.31E-05,3.89E-05
CtrlhFb,0,1,20492.53579,10174.67238,149174240.7,5878.945081,3.337494282,0.539937473,50394.1092,48397.58112,2.014073283,0.373252245,0.751757375,0.775611344,0.800306579,0.960381717,1.050751449,14004.88448,11192.17012,1.463242044,0.000130738,6.49E-05,0.011139699,0.000250859,7063.533032,0.005731307,898354,1746092.665,39320.89478,0.00607227,0.005600349,2.80E-06,5.35E-06,53.51735787,1.084266273,0.524157821,-2.090613512,-1.718993471,0.151370849,0.52299089,1.653786111,0.223515823,0.740738534,1.559939544,0.216306075,0.89640037,-1.736592374,0.156859348,0.050952802,2.06812972,0.428885034,2.587612958,0.119955958,0.186225383,1.795981186,0.36583174,0.849888583,1.712791756,0.370301609,1.125596977,-1.75490451,0.162725604,0.514273627,2.334207735,0.711774666,2.973623463,0.119218554,-0.310029199,0.61838189,0.949212483,1.094475764,-1.965989806,0.485474469,0.037911307,-3.390991845,0.551877796,-1.076423238,0.275994555,493635,728,113685,35,0.005396945,0.005530271,0.00415097,0.003916113,0.00440762,0.005333381,0.006242604,0.006201825,0.005930224,0.005531353,4.27E-06,4.68E-06,3.30E-06,3.58E-06,5.09E-06,5.77E-06,4.98E-06,5.78E-06,4.85E-06,2.19E-06,6.73E-08,1.35E-07,1.07E-10,2.15E-10,0.777493828,0.17239431,1.963953775,-1.065613476,0.061615656,0.600925109,0.662086125,0.235409577,0.868994811,0.918293983,0.193361757,1.934141905,-1.308055461,0.06602248,0.768652419,0.805036017,0.257186077,0.839487542,1.076285913,0.225040658,1.721957317,-1.551892316,0.069255685,0.791494044,0.966806811,0.280067349,0.870074681,1.231435022,0.252412768,1.669259921,-1.790145459,0.07508161,0.725599017,1.122160808,0.302833008,1.048272408,1.19E-05,2.64E-05,3.84E-05,3.78E-05
CtrlhFb,0,2,20756.6694,12366.56782,200646126.7,6391.028378,2.319928178,0.611887173,54669.54121,53043.94398,1.678450294,0.477353391,0.801213938,0.864717709,0.896125899,0.970265029,1.025001657,18010.7931,11418.85375,1.152457267,0.000100926,6.01E-05,0.008931381,0.000110523,8091.009993,0.007070381,1454113,1836851.072,22730.52526,0.008490894,0.006524786,3.54E-06,6.19E-06,141.9485576,1.301329164,0.571660791,-2.01289528,-1.652730849,0.138184485,0.498348916,1.65171808,0.240708915,0.934902581,1.562992553,0.232732952,1.06527866,-1.732845305,0.172422811,0.581920705,2.067740728,0.452234958,2.542064624,0.126831967,0.166212669,1.85811448,0.343630693,0.578500652,1.764560104,0.336376764,0.886254424,-1.775702414,0.140091989,0.304189063,2.437676419,0.709075722,3.01147505,0.108879666,1.410569469,1.326629045,1.13829539,-0.154790336,-1.885399722,0.483295302,0.233163712,-3.534871546,0.522830435,-0.695123211,0.265680044,865200,1122,315249,85,0.003773756,0.005039445,0.005393871,0.005750981,0.005647351,0.006407151,0.006730292,0.007235479,0.007647942,0.009884832,3.97E-06,3.64E-06,4.07E-06,4.82E-06,5.02E-06,5.91E-06,6.91E-06,7.31E-06,6.83E-06,3.26E-06,1.79E-07,3.00E-07,2.28E-10,3.83E-10,0.777773977,0.173551368,2.14140326,-1.065349873,0.066843149,1.11406548,0.666755791,0.234973464,0.861194298,0.924975889,0.19410406,1.907098689,-1.307553992,0.067905936,0.995758028,0.814445808,0.255440437,0.87382939,1.07691276,0.223613124,1.790786744,-1.550697305,0.069490684,0.815410035,0.965999365,0.281561141,0.955039809,1.229019379,0.250161315,1.789949083,-1.79061347,0.075813703,0.764624654,1.120905647,0.303890396,1.08925006,1.81E-05,3.70E-05,5.07E-05,4.65E-05
CtrlhFb,0,3,16376.23656,11265.93409,141440914.5,5111.878524,1.662124076,0.661889238,45420.18744,43653.51954,1.453606637,0.539872346,0.784762025,0.881924298,0.932709481,0.961103906,1.023632892,15335.81101,9440.881366,1.067842878,0.000113108,7.78E-05,0.017102152,0.001071997,6788.670154,0.006592861,954538,2476110.597,155207.491,0.007320377,0.006313435,2.84E-06,4.92E-06,93.45251915,1.159491887,0.576331671,-2.032069636,-1.66703029,0.152187297,0.517226642,1.680193069,0.23637031,0.789579528,1.596349348,0.223546855,0.902457062,-1.772159042,0.168240074,0.372084729,2.085376968,0.472367025,2.580397833,0.1471084,0.239816813,1.842149216,0.350134967,0.836639134,1.774734592,0.356962385,1.321968067,-1.821933379,0.156666386,0.269158347,2.359514925,0.720228892,2.920093963,0.142530815,0.5756686,1.23550982,1.087369179,-0.096126023,-1.896986178,0.50855828,0.417771358,-3.723404927,0.577301655,-1.123513005,0.287270754,522780,629,218418,46,0.005729432,0.006642469,0.004949726,0.003773218,0.005252017,0.006722524,0.007057023,0.007025996,0.006618599,0.007951095,6.90E-06,6.67E-06,4.97E-06,3.65E-06,4.52E-06,4.71E-06,4.78E-06,4.97E-06,5.36E-06,1.93E-06,1.14E-07,1.66E-07,-1.46E-10,-2.12E-10,0.775458013,0.183534677,2.283394433,-1.062208657,0.068377951,1.577180294,0.661704623,0.243246261,1.04584869,0.918043975,0.191412323,2.141649378,-1.312612188,0.066521432,0.832583821,0.80929304,0.252474,1.007280471,1.062202351,0.214486194,2.032995963,-1.553439674,0.069005987,0.846155103,0.952060567,0.275149607,1.033329435,1.221332564,0.243913133,1.891650481,-1.793542559,0.07422873,0.893907435,1.114804655,0.301974427,1.145560333,1.52E-05,3.16E-05,4.66E-05,4.45E-05
CtrlhFb,0,5,19841.40679,9312.971832,139867080.6,5937.213062,3.520702548,0.528428305,48261.42508,47053.16709,2.130512918,0.361955549,0.771150973,0.768793569,0.793866824,0.974964312,1.018789948,13819.67841,10311.03413,1.435735782,0.000139243,6.54E-05,0.012762405,0.000234134,6734.80684,0.003543109,504876,1818581.208,33362.98325,0.005659265,0.00273033,2.86E-06,3.45E-06,84.46367479,2.072740597,0.828752696,-2.230496843,-1.79209263,0.221079975,0.659484188,1.469369435,0.143295581,0.376603148,1.383358559,0.142461817,0.529119979,-1.577287159,0.177212198,0.107679515,1.858601583,0.250415079,2.661932843,0.126854761,-0.189900443,1.639194428,0.219442288,0.481635715,1.554165079,0.220214135,0.522801645,-1.668802528,0.225175835,1.293317856,2.106736201,0.46751321,2.953975677,0.117415018,1.906326229,1.477508522,0.825773824,-0.862034948,-2.068006027,0.620623996,0.542237194,-3.552326339,0.586451658,-0.867024229,0.383570792,123930,468,138861,159,0.001376029,0.001958963,0.001997136,0.002178179,0.002117597,0.002549101,0.003148207,0.003473812,0.003307349,0.006265294,0,2.30E-06,2.62E-06,3.45E-06,2.68E-06,3.19E-06,4.13E-06,4.41E-06,3.04E-06,2.50E-06,1.17E-07,2.49E-07,2.15E-10,4.59E-10,0.780062034,0.180104802,2.123906415,-1.053955245,0.08241087,2.436426487,0.661397242,0.229965688,0.833392439,0.933249855,0.183136301,1.440359227,-1.296782823,0.079671534,2.147326851,0.819832783,0.235496786,0.470047152,1.095918242,0.204938389,1.097727036,-1.533476835,0.081889565,1.474050223,0.983236723,0.253227114,0.427780054,1.270737335,0.226550788,0.889326834,-1.75850469,0.092880308,1.098609619,1.155669476,0.26687104,0.52522751,5.92E-06,1.42E-05,2.41E-05,2.80E-05
CtrlhFb,0,6,15814.5981,12009.07661,145736089.8,5597.800704,1.527420805,0.671212774,44605.54055,43686.33125,1.316887103,0.605987732,0.798017429,0.957221406,0.959590253,0.979392486,1.039951387,16367.23198,9259.870512,0.966235349,0.000104347,7.92E-05,0.010570478,0.000185061,6945.685896,0.003198746,484797,1602045.264,28047.61797,0.005295754,0.002393321,2.52E-06,2.37E-06,75.30074312,2.212721805,1.061469161,-2.286486597,-1.843088241,0.209647559,0.653045915,1.443942915,0.128523328,0.675385025,1.359266657,0.12729723,0.66819399,-1.562026818,0.166243767,0.898277058,1.823008884,0.240252186,2.726061433,0.141313839,-0.679527488,1.607255589,0.238027108,0.651084294,1.535229634,0.241282227,0.815977468,-1.653188108,0.23110244,1.666172273,2.058472942,0.487182291,2.926856799,0.105349826,0.758664376,1.62197595,0.66038156,-1.417309725,-2.118620966,0.621658463,0.597266936,-3.627013931,0.532684915,-1.200897191,0.37751319,90918,366,115524,136,0.002007887,0.002000512,0.001932532,0.001782532,0.001868813,0.002092907,0.002214167,0.002801611,0.003645311,0.006433917,6.70E-07,2.23E-06,2.28E-06,2.11E-06,1.64E-06,2.13E-06,2.22E-06,2.77E-06,3.31E-06,2.47E-06,4.74E-08,6.24E-08,9.03E-11,1.19E-10,0.779131487,0.191933821,2.194162316,-1.049756674,0.093683992,3.142720585,0.653665891,0.246393289,0.939323411,0.9172176,0.172983444,1.69806279,-1.298501374,0.081697044,3.222483265,0.801187479,0.227757759,0.564026895,1.086413773,0.193689502,1.069405262,-1.53167837,0.083074154,2.477133726,0.971272544,0.244254171,0.345401051,1.259588959,0.214467715,0.870868755,-1.757467167,0.089778929,1.517029212,1.142028215,0.259300695,0.431893678,4.18E-06,1.19E-05,2.12E-05,2.60E-05
CtrlhFb,0,7,19839.64888,13311.36059,205451564.6,6638.855907,1.807607306,0.651185725,53598.78045,52720.57795,1.490429828,0.539656433,0.804320045,0.929149012,0.928878674,0.983615252,1.033893652,19132.34192,11102.40813,1.036969178,9.34E-05,6.27E-05,0.010446529,0.000384454,8222.762084,0.003362379,714220,2219000.188,81663.77096,0.00524584,0.002638974,2.65E-06,2.91E-06,116.346178,1.987833412,0.908640184,-2.277144402,-1.832038972,0.197344735,0.642450166,1.466600956,0.148628938,1.02794606,1.381192092,0.143418733,1.17930897,-1.587213917,0.163076191,0.1162959,1.843137868,0.269947163,2.693722764,0.132181796,-0.240560681,1.578560114,0.200365189,0.66149419,1.500095103,0.195383728,0.701098977,-1.653179156,0.202394066,1.100807177,2.001090944,0.421441792,3.011299354,0.084254424,-0.210435074,1.870555529,0.632721775,-2.330253794,-2.111403464,0.603032953,0.465982979,-3.517206042,0.527411769,-1.2847011,0.363085673,177117,603,146721,229,0.002570173,0.001920599,0.002534882,0.0025471,0.002198567,0.002521611,0.00250212,0.002947511,0.003355119,0.006536865,1.45E-06,1.77E-06,2.41E-06,3.03E-06,2.36E-06,2.94E-06,3.12E-06,3.15E-06,3.80E-06,2.36E-06,2.71E-08,4.04E-08,1.03E-10,1.53E-10,0.775765912,0.179963782,2.477822021,-1.056037534,0.081925747,2.169133033,0.653384455,0.229401616,1.010537952,0.920168891,0.17877979,1.685515037,-1.298786914,0.076576885,1.967544213,0.801290877,0.233342915,0.619123225,1.088562343,0.196781216,1.089294357,-1.533352784,0.079588621,1.563562086,0.974946947,0.245941424,0.363573594,1.269231961,0.220205593,0.796273378,-1.755859124,0.088117757,0.898910474,1.153753624,0.261878189,0.366108143,4.92E-06,1.28E-05,2.26E-05,2.67E-05
CtrlhFb,0,8,20473.53683,11456.73492,182110172.4,6399.004225,2.453151105,0.601784679,52298.26803,51089.33267,1.787030683,0.447825749,0.800278354,0.862442322,0.876765817,0.976883836,1.030767232,17169.55123,10932.91232,1.192432846,0.000109068,6.10E-05,0.008586276,0.000136276,7729.874951,0.003913944,734699,1611757.303,25580.78692,0.005606406,0.003263898,2.86E-06,3.65E-06,92.78977116,1.717702332,0.783710984,-2.249736403,-1.837019473,0.157828792,0.570545722,1.47439742,0.154478992,0.865922975,1.390917115,0.14979413,0.656771956,-1.600097627,0.184715359,0.582197115,1.845847085,0.267716817,2.651592648,0.120041928,-0.033401186,1.596392707,0.213157321,0.810562905,1.519163692,0.222295669,0.980577343,-1.686714859,0.184951439,1.818572861,2.003220428,0.404971376,2.996940495,0.118199056,-4.521722265,1.582065438,0.801580001,-1.018696003,-2.088794678,0.588312657,1.045606417,-3.336928674,0.58215633,-1.339171338,0.318770517,188286,644,117678,188,0.003728092,0.002583826,0.002678169,0.002715964,0.002802523,0.003275824,0.003392921,0.003549323,0.004436793,0.00636303,6.51E-06,3.44E-06,3.26E-06,2.40E-06,2.71E-06,3.65E-06,4.09E-06,4.31E-06,4.41E-06,2.23E-06,2.38E-08,4.25E-08,-5.44E-11,-9.72E-11,0.771856388,0.172635212,2.1735292,-1.057047339,0.086614765,3.208302638,0.653632005,0.225742581,0.762878059,0.92160775,0.171065738,1.468779388,-1.299524246,0.0763919,2.319942439,0.806321871,0.228682437,0.439628862,1.088874551,0.198941204,1.069012376,-1.536024288,0.077988456,1.6247322,0.973707424,0.251052159,0.402153323,1.26180927,0.223971261,0.8689748,-1.764262965,0.086277458,1.152772622,1.147176932,0.268391813,0.42183386,5.21E-06,1.48E-05,2.62E-05,3.20E-05
CtrlhFb,0,9,19090.56677,10698.29535,160234964.2,5869.292952,2.477487416,0.599956043,48731.4453,47928.78082,1.784449405,0.456017535,0.81374022,0.879448611,0.876545346,0.983528818,1.037198547,16398.70786,10134.66875,1.164150672,0.000114868,6.44E-05,0.01850854,0.000348763,7273.352858,0.004750713,789547,3076035.515,57962.86882,0.00667138,0.004013017,6.22E-06,7.75E-06,122.4637851,1.662434843,0.803477671,-2.086324562,-1.621923974,0.241517865,0.705918453,1.500580498,0.16278333,0.713566854,1.415090826,0.165488759,0.915268553,-1.541241052,0.164075827,0.014106823,1.957069817,0.307295664,2.489804867,0.121547105,0.287691171,1.62620522,0.229397035,0.648212548,1.543793991,0.238565597,0.80129284,-1.605014445,0.178974042,0.620401378,2.144545867,0.445082479,2.934054717,0.167381025,1.723961913,1.955669883,0.593536383,-2.38362343,-1.945447974,0.581047591,-0.04524098,-3.913407965,0.607277697,-1.188520246,0.382394452,455211,1217,212139,260,0.002843392,0.002298528,0.003676149,0.004045958,0.004057457,0.003798746,0.003970621,0.004020149,0.004927356,0.008514985,3.74E-06,2.08E-06,7.23E-06,7.84E-06,7.62E-06,6.86E-06,7.72E-06,8.02E-06,9.39E-06,7.02E-06,9.26E-08,1.65E-07,3.10E-10,5.53E-10,0.808644698,0.186838058,1.461309468,-1.0535915,0.068664779,1.104955726,0.697697535,0.246109959,0.542314827,0.974382411,0.21700211,1.073948739,-1.28730434,0.075004745,0.910050388,0.863069256,0.270568534,0.427124448,1.150758623,0.240252543,0.771758515,-1.514822724,0.087134866,0.811913516,1.037440144,0.28537449,0.337161056,1.326849071,0.25942369,0.634652793,-1.726544539,0.108816543,0.627116325,1.208020866,0.3020046,0.386111519,1.71E-05,2.75E-05,3.27E-05,2.98E-05
CtrlhFb,0,10,19160.79046,13970.27068,202815866.7,6560.560156,1.579516248,0.667694243,52337.19742,51765.33492,1.371540387,0.564387429,0.774080153,0.950589719,0.951116543,0.989073498,1.021650254,19084.96533,10857.07405,1.00397303,9.25E-05,6.74E-05,0.010765355,0.000353312,8121.329876,0.004614475,956151,2230655.652,73208.71699,0.007937943,0.003337987,5.69E-06,6.25E-06,218.7681946,2.378062508,0.909592285,-2.076208242,-1.594506923,0.261369577,0.743070896,1.507975423,0.150804889,0.415806385,1.416414179,0.150326454,0.754600194,-1.555558848,0.161870153,0.083213444,1.957541871,0.289382042,2.547666871,0.105884525,-0.198230558,1.671057755,0.262858286,0.519635148,1.592661729,0.270231683,0.800275383,-1.611044894,0.168109405,0.951021377,2.228220489,0.522470561,2.998302476,0.101161647,0.083810738,2.32542486,0.163377187,-2.777615465,-1.883660039,0.735992146,1.210568394,-3.716783107,0.561519498,-1.315595389,0.453917781,442440,1263,440760,336,0.003186887,0.003148518,0.002919664,0.003174452,0.003248722,0.002940541,0.003207743,0.003675194,0.004853749,0.008653638,4.28E-06,5.87E-06,4.66E-06,6.12E-06,5.87E-06,5.53E-06,6.48E-06,6.75E-06,8.34E-06,3.78E-06,2.09E-08,2.87E-08,1.24E-10,1.70E-10,0.799443837,0.183811402,1.468614749,-1.052667252,0.075257632,3.232308996,0.684404973,0.24497113,0.558589619,0.974942469,0.216449108,1.100312153,-1.290913733,0.076783972,2.221400066,0.863940388,0.268746781,0.467733792,1.153635312,0.246956921,0.825106674,-1.51677204,0.087099993,1.368019827,1.043024873,0.289449527,0.39196665,1.330897473,0.263353902,0.653431616,-1.72941259,0.107426678,0.799309979,1.213916728,0.301569284,0.4383218,1.64E-05,2.57E-05,2.90E-05,2.59E-05
CtrlhFb,0,11,21611.66365,17205.83974,275072969.5,7318.411862,1.363743551,0.681259779,61139.77523,60015.43702,1.256065614,0.606886362,0.76228909,0.952897014,0.959691911,0.981610364,1.030471208,22343.64539,12686.14724,0.967239825,7.62E-05,6.07E-05,0.010114912,0.000237473,9498.760827,0.008369536,2372385,2867120.123,67312.98908,0.011636551,0.007114731,6.51E-06,8.97E-06,301.6654912,1.635557435,0.725664151,-1.927847736,-1.575356585,0.150681231,0.503172382,1.655151526,0.222896982,0.735734576,1.57935117,0.219588558,0.875735525,-1.726701095,0.151185318,0.266226832,2.08075183,0.409955479,2.47255203,0.110278706,0.0956188,1.843075441,0.412200939,0.848951747,1.782326549,0.428801421,1.196170053,-1.767350512,0.180405147,1.689328341,2.415950242,0.833936652,3.044102186,0.154682058,1.048860188,1.835084218,1.145977074,-0.836959965,-1.804564725,0.504753039,0.567613989,-3.745672182,0.542235839,-0.866601531,0.273964242,1568958,2349,873603,123,0.004899198,0.005027944,0.004769082,0.004796573,0.005478745,0.007048535,0.007911112,0.009020258,0.010453385,0.010117089,5.82E-06,8.45E-06,6.23E-06,6.55E-06,6.54E-06,8.06E-06,1.03E-05,1.09E-05,1.14E-05,2.99E-06,2.45E-07,3.07E-07,2.42E-10,3.04E-10,0.766937872,0.155575996,1.972977191,-1.064042925,0.067541719,1.446838863,0.651500956,0.22389654,0.690254817,0.932832974,0.192619051,1.70718675,-1.30735633,0.066082845,1.085570199,0.825715374,0.256162355,0.784104315,1.10263689,0.237935294,1.507619705,-1.545132935,0.069946061,0.790910884,0.997205595,0.296679683,0.890814501,1.256126691,0.271656399,1.501548942,-1.778860261,0.080962141,0.564061569,1.146747155,0.326232121,1.020225961,2.93E-05,5.85E-05,6.22E-05,4.12E-05
CtrlhFb,0,12,19662.19548,13219.12372,198541884.6,6376.311975,1.903602001,0.643910807,52565.7269,51958.30242,1.487405361,0.52330417,0.778365427,0.920073939,0.924170491,0.988444477,1.018980973,18583.23059,10886.71863,1.058061212,9.72E-05,6.53E-05,0.008266155,0.000180187,8024.79914,0.010004508,2024016,1672329.209,36453.69486,0.013949985,0.008489117,7.66E-06,1.12E-05,324.8939962,1.643278651,0.685578414,-1.890006193,-1.544574579,0.111128875,0.456560489,1.659960045,0.221616962,0.6598563,1.583619519,0.21893535,0.87776632,-1.720458655,0.149185813,0.261995693,2.096611307,0.421922424,2.440131179,0.097451075,0.07790028,1.858413052,0.370499723,0.64764322,1.795751543,0.394380704,1.131472584,-1.754897146,0.128955097,0.230493913,2.45907883,0.735927899,2.999744814,0.116346092,-3.084094024,2.458862609,0.284412966,-4.134298092,-1.769747272,0.46015484,0.280451987,-3.698311379,0.533221896,-1.036288691,0.231387796,1404267,2063,850362,151,0.004037458,0.006047207,0.006675669,0.007339841,0.007710512,0.008279502,0.008796109,0.009840321,0.011272892,0.014236502,6.37E-06,8.49E-06,1.11E-05,8.75E-06,1.09E-05,1.10E-05,1.10E-05,1.18E-05,1.24E-05,6.01E-06,3.15E-07,4.69E-07,2.76E-10,4.11E-10,0.777739731,0.166498692,1.877597431,-1.061451083,0.066946633,1.153902486,0.664417889,0.232116353,0.754068632,0.940413767,0.200590496,1.652515463,-1.305649824,0.067048877,0.893841075,0.833472864,0.263696037,0.812010432,1.109149737,0.245233908,1.46724593,-1.54286593,0.071657126,0.648026638,1.003361767,0.303238824,0.869940294,1.262837566,0.283307384,1.515758154,-1.778493787,0.081696164,0.549598904,1.152639437,0.33946583,1.083437946,3.94E-05,7.22E-05,7.53E-05,4.85E-05
